covered 103 missing 258
075	nguyen-tat-thanh-tham-gia-chong-thue-hue	Nguyễn Tất Thành tham gia phong trào chống thuế ở Huế	Năm 1908
076	thanh-lap-lien-minh-dong-a-1908	Thành lập Điền – Quế -Việt liên minh và Đông Á đồng minh	Năm 1908
077	nguyen-tat-thanh-roi-phan-thiet-vao-sai-gon	Nguyễn Tất Thành rời Phan Thiết vào Sài Gòn	Tháng 2-1911
078	nguyen-tat-thanh-ra-di-tim-duong-cuu-nuoc	Nguyễn Tất Thành ra đi tìm đường cứu nước	5-6-1911
079	hoat-dong-doi-ngoai-phan-chau-trinh	Hoạt động đối ngoại của Phan Châu Trinh	Từ năm 1911
080	phan-boi-chau-ve-trung-quoc-1911	Phan Bội Châu về hoạt động ở Trung Quốc	Năm 1911
081	phan-chau-trinh-sang-phap-1911	Phan Châu Trinh sang Pháp	Năm 1911
082	thanh-lap-viet-nam-quang-phuc-hoi-1912	Thành lập Việt Nam Quang phục hội và Chấn Hoa Hưng Á	Đầu năm 1912
083	chu-quyen-bien-dao-viet-nam-1919-1945	Chủ quyền biển đảo Việt Nam 1919-1945	Chủ quyền biển đảo Việt Nam 1919-1945
084	nguyen-ai-quoc-gui-yeu-sach-vec-xai	Nguyễn Ái Quốc gửi Yêu sách của nhân dân An Nam đến Hội nghị Véc-xai	Năm 1919
085	nguyen-ai-quoc-doc-luan-cuong-le-nin	Nguyễn Ái Quốc đọc Sơ thảo lần thứ nhất những luận cương về vấn đề dân tộc và vấn đề thuộc địa của Lê-nin	Tháng 7 – 1920
086	nguyen-ai-quoc-gia-nhap-quoc-te-cong-san-va-sang-lap-dang-cong-san-phap	Nguyễn Ái Quốc bỏ phiếu tán thành gia nhập Quốc tế Cộng sản và sáng lập Đảng Cộng sản Pháp	Tháng 12 - 1920
087	nguyen-ai-quoc-hoat-dong-phap-1921-1923	Nguyễn Ái Quốc hoạt động ở Pháp	Từ năm 1921 đến tháng 6 – 1923
088	nguyen-ai-quoc-thanh-lap-hoi-lien-hiep-thuoc-dia-1921	Nguyễn Ái Quốc tham gia thành lập Hội Liên hiệp thuộc địa	Năm 1921
089	nguyen-ai-quoc-thanh-lap-hoi-lien-hiep-thuoc-dia-va-bao-le-paria	Nguyễn Ái Quốc tham gia thành lập Hội liên hiệp thuộc địa và sáng lập tờ báo Le Paria	Giữa năm 1921
090	nguyen-ai-quoc-den-lien-xo-1923	Nguyễn Ái Quốc đến Liên Xô và tham gia Quốc tế Cộng sản	Tháng 6-1923
091	thanh-lap-hoi-lien-hiep-cac-dan-toc-bi-ap-buc-a-dong-1925	Nguyễn Ái Quốc tham gia thành lập Hội Liên hiệp các dân tộc bị áp bức ở Á Đông	Tháng 7 – 1925
092	nguyen-ai-quoc-hoat-dong-chau-au-siam-1927-1929	Nguyễn Ái Quốc hoạt động cách mạng ở Pháp, Bỉ, Đức, Xiêm	Từ giữa năm 1927 đến cuối năm 1929
093	su-ra-doi-cua-ba-to-chuc-cong-san-viet-nam	Sự ra đời của ba tổ chức cộng sản ở Việt Nam	Năm 1929
094	hoi-nghi-thanh-lap-dang-cong-san-viet-nam	Nguyễn Ái Quốc triệu tập và chủ trì Hội nghị thành lập Đảng Cộng sản Việt Nam	Ngày 6 – 1 – 1930
095	thanh-lap-mat-tran-dan-toc-thong-nhat-viet-nam-1930	Thành lập Mặt trận Dân tộc Thống nhất Việt Nam (Hội Phản đế Đồng minh)	Ngày 18 – 11 – 1930
096	hoat-dong-doi-ngoai-dang-cong-san-dong-duong-1930-1945	Hoạt động đối ngoại của Đảng Cộng sản Đông Dương	1930 – 1945
097	thanh-lap-cac-dang-cong-san-o-viet-nam-ma-lai-xiem-phi-lip-pin	Thành lập các đảng cộng sản ở Việt Nam, Mã Lai, Xiêm, Phi-líp-pin	Trong những năm 30 của thế kỉ XX
098	nguyen-ai-quoc-hoat-dong-lien-xo-1933	Nguyễn Ái Quốc hoạt động tại Liên Xô	Năm 1933
099	nguyen-ai-quoc-roi-lien-xo-tro-lai-trung-quoc	Nguyễn Ái Quốc rời Liên Xô trở lại Trung Quốc	Năm 1938
100	phap-gui-cong-ham-phan-doi-nhat-ban-kiem-soat-truong-sa	Pháp gửi công hàm phản đối Nhật Bản kiểm soát một số đảo thuộc quần đảo Trường Sa	Năm 1939
101	nguyen-ai-quoc-tro-ve-nuoc	Nguyễn Ái Quốc trở về nước	Ngày 28-1-1941
102	hoi-nghi-lan-thu-8-ban-chap-hanh-trung-uong-dang-cong-san-dong-duong	Hội nghị lần thứ 8 Ban Chấp hành Trung ương Đảng Cộng sản Đông Dương	Từ ngày 10 đến ngày 19-5-1941
103	thanh-lap-mat-tran-viet-nam-doc-lap-dong-minh-viet-minh	Thành lập Mặt trận Việt Nam Độc lập Đồng minh (Mặt trận Việt Minh)	19-5-1941
104	thanh-lap-tieu-doi-du-kich-thoat-li-dau-tien-o-cao-bang	Thành lập Tiểu đội du kích thoát li đầu tiên ở Cao Bằng	Tháng 11 – 1941
